date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:42	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:41%20GMT	http://live5.in/live/wp-content/uploads/2018/11/5957908fe6d9740.jpg	C:/My%20Web%20Sites/live/live5.in/live/wp-content/uploads/2018/11/5957908fe6d9740.jpg	(from https://live5.in/live/shyamawedsanand/)
20:29:44	897943/897943	---M--	200	added ('OK')	image/jpeg	etag:%22db397-5a728abe6cb9d%22	https://live5.in/live/wp-content/uploads/2020/06/222.jpg	C:/My%20Web%20Sites/live/live5.in/live/wp-content/uploads/2020/06/222.jpg	(from https://live5.in/live/shyamawedsanand/)
20:29:44	110665/110665	---M--	200	added ('OK')	image/jpeg	etag:%221b049-57bb6ed3cc380%22	https://live5.in/live/wp-content/uploads/2018/11/5957908fe6d9740.jpg	C:/My%20Web%20Sites/live/live5.in/live/wp-content/uploads/2018/11/5957908fe6d9740.jpg	(from https://live5.in/live/shyamawedsanand/)
20:29:45	129144/129144	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2018%20Aug%202020%2014:59:10%20GMT	https://cdn.jwplayer.com/libraries/cKY5REJu.js	C:/My%20Web%20Sites/live/cdn.jwplayer.com/libraries/cKY5REJu.js	(from https://live5.in/live/shyamawedsanand/)
20:29:47	105419/105419	---M--	200	added ('OK')	image/jpeg	etag:%2219bcb-5acd192632411%22	https://live5.in/live/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-14-at-13.10.23-682x1024.jpeg	C:/My%20Web%20Sites/live/live5.in/live/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-14-at-13.10.23-682x1024.jpg	(from https://live5.in/live/shyamawedsanand/)
20:29:50	187744/187744	---M--	200	added ('OK')	image/jpeg	etag:%222dd60-5acd17233a37a%22	https://live5.in/live/wp-content/uploads/2020/08/ramesh-1024x774.jpeg	C:/My%20Web%20Sites/live/live5.in/live/wp-content/uploads/2020/08/ramesh-1024x774.jpg	(from https://live5.in/live/shyamawedsanand/)
20:29:52	299/299	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:52%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/js/jquery.easing.min.js?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/jquery.easing.min.1503ec.delayed	(from https://live5.in/live/shyamawedsanand/)
20:29:52	51485/51485	---M--	200	added ('OK')	text/css	etag:%22c91d-55e04911c89c0%22	https://live5.in/live/wp-content/plugins/js_composer/assets/lib/bower/animate-css/animate.min.css?ver=5.2.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/plugins/js_composer/assets/lib/bower/animate-css/animate.min7752.css	(from https://live5.in/live/shyamawedsanand/)
20:29:54	7116/7116	---M--	200	added ('OK')	application/javascript	etag:%221bcc-52ba69b158e80%22	https://live5.in/live/wp-content/themes/Impreza/framework/js/jquery.easing.min.js?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/jquery.easing.min03ec.js	(from https://live5.in/live/shyamawedsanand/)
20:29:55	303/303	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:54%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/js/jquery.magnific-popup.js?ver=1.1.0	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/jquery.magnific-popup.17f488.delayed	(from https://live5.in/live/shyamawedsanand/)
20:29:56	20219/20219	---M--	200	added ('OK')	application/javascript	etag:%224efb-52ec8e6149a00%22	https://live5.in/live/wp-content/themes/Impreza/framework/js/jquery.magnific-popup.js?ver=1.1.0	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/jquery.magnific-popupf488.js	(from https://live5.in/live/shyamawedsanand/)
20:29:56	306/306	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:56%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/js/jquery.simpleplaceholder.js?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/jquery.simpleplaceholder.1903ec.delayed	(from https://live5.in/live/shyamawedsanand/)
20:29:57	1501/1501	---M--	200	added ('OK')	application/javascript	etag:%225dd-52ba69b158e80%22	https://live5.in/live/wp-content/themes/Impreza/framework/js/jquery.simpleplaceholder.js?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/jquery.simpleplaceholder03ec.js	(from https://live5.in/live/shyamawedsanand/)
20:29:57	294/294	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:57%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/js/imagesloaded.js?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/imagesloaded03ec.js	(from https://live5.in/live/shyamawedsanand/)
20:29:57	6899/6899	---M--	200	added ('OK')	application/javascript	etag:%221af3-52ba69b158e80%22	https://live5.in/live/wp-content/themes/Impreza/framework/js/imagesloaded.js?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/imagesloaded03ec.js	(from https://live5.in/live/shyamawedsanand/)
20:29:57	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:57%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/js/us.core.js?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/us.core128b.js	(from https://live5.in/live/shyamawedsanand/)
20:29:58	290/290	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:58%20GMT	http://live5.in/live/wp-content/themes/Impreza/framework/js/us.widgets.js?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/us.widgets128b.js	(from https://live5.in/live/shyamawedsanand/)
20:29:58	46813/46813	---M--	200	added ('OK')	application/javascript	etag:%22b6dd-5344904d6db80%22	https://live5.in/live/wp-content/themes/Impreza/framework/js/us.core.js?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/us.core128b.js	(from https://live5.in/live/shyamawedsanand/)
20:30:00	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Aug%202020%2014:59:59%20GMT	http://live5.in/live/wp-content/themes/Impreza/js/us.theme.js?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/js/us.theme128b.js	(from https://live5.in/live/shyamawedsanand/)
20:30:00	52437/52437	---M--	200	added ('OK')	application/javascript	etag:%22ccd5-53446da659a00%22	https://live5.in/live/wp-content/themes/Impreza/framework/js/us.widgets.js?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/framework/js/us.widgets128b.js	(from https://live5.in/live/shyamawedsanand/)
20:30:01	1328/1328	---M--	200	added ('OK')	application/javascript	etag:%22530-5328e03cc0380%22	https://live5.in/live/wp-content/themes/Impreza/js/us.theme.js?ver=3.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/themes/Impreza/js/us.theme128b.js	(from https://live5.in/live/shyamawedsanand/)
20:30:01	2385/2385	---M--	200	added ('OK')	application/javascript	etag:%22951-59bc17001a8b9%22	https://live5.in/live/wp-includes/js/comment-reply.min.js?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-includes/js/comment-reply.min03ec.js	(from https://live5.in/live/shyamawedsanand/)
20:30:01	1399/1399	---M--	200	added ('OK')	application/javascript	etag:%22577-59bc170016651%22	https://live5.in/live/wp-includes/js/wp-embed.min.js?ver=5.3.4	C:/My%20Web%20Sites/live/live5.in/live/wp-includes/js/wp-embed.min03ec.js	(from https://live5.in/live/shyamawedsanand/)
20:30:02	8044/8044	---M--	200	added ('OK')	application/javascript	etag:%221f6c-55e04911c89c0%22	https://live5.in/live/wp-content/plugins/js_composer/assets/lib/waypoints/waypoints.min.js?ver=5.2.1	C:/My%20Web%20Sites/live/live5.in/live/wp-content/plugins/js_composer/assets/lib/waypoints/waypoints.min7752.js	(from https://live5.in/live/shyamawedsanand/)
